 $/Acre ,Acres, PRICE ,CDOM,SOLD DATE,County,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,LOT SIZE,LATITUDE,LONGITUDE
" $9,199 ",8.69," $79,900 ",109,9/20/2019,Lee,2106  County Road 306   ,Lexington,TX,78947,378362.16,30.416946,-97.198867
" $10,266 ",8.73," $89,610 ",42,11/27/2019,Lee,3129  County Road 133   ,Giddings,TX,78942,380235.24,30.200559,-96.870177
" $9,315 ",8.91," $83,000 ",93,10/11/2018,Lee,498  FM 112   ,Lexington,TX,78947,388119.6,30.466574,-97.158986
" $9,565 ",9.93," $95,000 ",134,7/3/2019,Lee,TBD  County Road 324   #6,Lincoln,TX,78948,432637.92,30.307968,-97.043289
" $9,600 ",10.00," $96,000 ",359,10/17/2019,Lee,TBD Tract 2  Private Road 1802   ,Giddings,TX,78942,435600,30.180265,-96.810502
" $10,000 ",10.00," $100,000 ",107,7/19/2019,Lee,0  County Road 205   ,Giddings,TX,78942,435600,30.142566,-97.038678
" $10,200 ",10.00," $102,000 ",36,5/13/2019,Lee,00  County Road 205   ,Giddings,TX,78942,435600,30.1407,-97.044965
" $10,200 ",10.00," $102,000 ",52,3/15/2019,Lee,00  Road B   ,Lexington,TX,78947,435600,30.379297,-97.104619
" $10,200 ",10.00," $102,000 ",54,3/15/2019,Lee,00  Road B   ,Lexington,TX,78947,435600,30.37925,-97.104614
" $10,500 ",10.00," $105,000 ",1,9/30/2019,Lee,0  Road A   ,Lexington,TX,78947,435600,30.368944,-97.115432
" $10,710 ",10.00," $107,100 ",6,8/19/2019,Lee,1402  County Road B   ,Lexington,TX,78947,435600,30.375151,-97.110501
" $11,000 ",10.00," $110,000 ",94,3/26/2019,Lee,1151 W County Road E   ,Lexington,TX,78947,435600,30.38434,-97.119397
" $11,750 ",10.00," $117,500 ",143,8/31/2018,Lee,1702  County Road 333   ,Paige,TX,78947,435600,30.320996,-97.129351
" $14,000 ",10.00," $140,000 ",18,10/17/2019,Lee,00  County Road 333   ,Paige,TX,78659,435600,30.268026,-97.117327
